layer_height,print_speed,fan_speed,bed_temperature,nozzle_temperature,infill_density,wall_thickness,roughness,strength,material,infill_pattern
0.02,40,25,65,205,32,5,69,17,0,1
0.02,40,30,66,206,35,5,65,18,0,1
0.02,40,35,67,207,38,5,61,19,0,1
0.02,40,40,68,208,41,6,57,20,0,1
0.02,40,45,69,209,44,6,53,21,0,1
0.02,40,50,70,210,47,6,49,23,0,1
0.02,40,55,71,211,50,6,45,24,0,1
0.02,40,60,72,212,53,7,41,25,0,1
0.02,40,65,73,213,56,7,37,26,0,1
0.02,40,70,74,214,59,7,33,27,0,1
0.02,40,75,75,215,62,7,29,28,0,1
0.06,60,25,65,205,34,4,119,17,0,1
0.06,60,30,66,206,37,5,115,18,0,1
0.06,60,35,67,207,40,5,111,19,0,1
0.06,60,40,68,208,43,5,107,20,0,1
0.06,60,45,69,209,46,5,103,21,0,1
0.06,60,50,70,210,49,5,99,22,0,1
0.06,60,55,71,211,52,6,95,23,0,1
0.06,60,60,72,212,55,6,91,25,0,1
0.06,60,65,73,213,58,6,87,26,0,1
0.06,60,70,74,214,61,6,83,27,0,1
0.06,60,75,75,215,64,7,79,28,0,1
0.1,120,25,65,205,47,3,178,16,0,1
0.1,120,30,66,206,50,3,174,17,0,1
0.1,120,35,67,207,53,3,170,19,0,1
0.1,120,40,68,208,56,3,166,20,0,1
0.1,120,45,69,209,59,3,162,21,0,1
0.1,120,50,70,210,62,4,158,22,0,1
0.1,120,55,71,211,65,4,154,23,0,1
0.1,120,60,72,212,68,4,150,24,0,1
0.1,120,65,73,213,71,4,146,25,0,1
0.1,120,70,74,214,74,5,142,27,0,1
0.1,120,75,75,215,77,5,138,28,0,1
0.15,60,25,65,205,26,4,223,16,0,1
0.15,60,30,66,206,29,4,219,18,0,1
0.15,60,35,67,207,32,4,215,19,0,1
0.15,60,40,68,208,35,5,211,20,0,1
0.15,60,45,69,209,38,5,207,21,0,1
0.15,60,50,70,210,41,5,203,22,0,1
0.15,60,55,71,211,44,5,199,23,0,1
0.15,60,60,72,212,47,5,195,24,0,1
0.15,60,65,73,213,50,6,191,26,0,1
0.15,60,70,74,214,54,6,187,27,0,1
0.15,60,75,75,215,57,6,183,28,0,1
0.2,40,25,65,205,17,4,276,16,0,1
0.2,40,30,66,206,20,4,272,18,0,1
0.2,40,35,67,207,23,5,268,19,0,1
0.2,40,40,68,208,26,5,264,20,0,1
0.2,40,45,69,209,29,5,260,21,0,1
0.2,40,50,70,210,32,5,256,22,0,1
0.2,40,55,71,211,35,6,252,23,0,1
0.2,40,60,72,212,38,6,248,24,0,1
0.2,40,65,73,213,41,6,244,26,0,1
0.2,40,70,74,214,44,6,240,27,0,1
0.2,40,75,75,215,47,6,236,28,0,1
