layer_height,print_speed,fan_speed,bed_temperature,nozzle_temperature,infill_density,wall_thickness,roughness,strength,material,infill_pattern
0.02,40,25,65,225,47,4,8,12,1,0
0.02,40,30,66,226,49,4,18,12,1,0
0.02,40,35,67,228,51,4,28,12,1,0
0.02,40,40,68,229,53,4,38,11,1,0
0.02,40,45,69,231,55,5,48,11,1,0
0.02,40,50,70,232,57,5,58,11,1,0
0.02,40,55,71,234,59,5,69,11,1,0
0.02,40,60,72,235,61,5,79,11,1,0
0.02,40,65,73,237,63,5,89,10,1,0
0.02,40,70,74,238,66,5,99,10,1,0
0.02,40,75,75,240,68,5,109,10,1,0
0.06,60,25,65,225,43,4,74,15,1,0
0.06,60,30,66,226,45,4,84,14,1,0
0.06,60,35,67,228,47,5,95,14,1,0
0.06,60,40,68,229,49,5,104,14,1,0
0.06,60,45,69,231,52,5,115,14,1,0
0.06,60,50,70,232,54,5,125,13,1,0
0.06,60,55,71,234,56,5,135,13,1,0
0.06,60,60,72,235,58,5,145,13,1,0
0.06,60,65,73,237,60,5,155,13,1,0
0.06,60,70,74,238,62,6,165,12,1,0
0.06,60,75,75,240,64,6,176,12,1,0
0.1,120,25,65,225,33,4,164,15,1,0
0.1,120,30,66,226,35,4,174,14,1,0
0.1,120,35,67,228,37,5,185,14,1,0
0.1,120,40,68,229,39,5,195,14,1,0
0.1,120,45,69,231,41,5,205,14,1,0
0.1,120,50,70,232,43,5,215,13,1,0
0.1,120,55,71,234,45,5,225,13,1,0
0.1,120,60,72,235,47,5,235,13,1,0
0.1,120,65,73,237,50,6,246,13,1,0
0.1,120,70,74,238,52,6,255,13,1,0
0.1,120,75,75,240,54,6,266,12,1,0
0.15,60,25,65,225,43,5,197,23,1,0
0.15,60,30,66,226,45,6,207,22,1,0
0.15,60,35,67,228,47,6,217,22,1,0
0.15,60,40,68,229,50,6,227,22,1,0
0.15,60,45,69,231,52,6,238,22,1,0
0.15,60,50,70,232,54,6,247,22,1,0
0.15,60,55,71,234,56,6,258,21,1,0
0.15,60,60,72,235,58,6,268,21,1,0
0.15,60,65,73,237,60,7,278,21,1,0
0.15,60,70,74,238,62,7,288,21,1,0
0.15,60,75,75,240,64,7,298,20,1,0
0.2,40,25,65,225,47,6,253,28,1,0
0.2,40,30,66,226,49,6,263,28,1,0
0.2,40,35,67,228,51,6,274,28,1,0
0.2,40,40,68,229,53,7,283,28,1,0
0.2,40,45,69,231,55,7,294,28,1,0
0.2,40,50,70,232,57,7,304,27,1,0
0.2,40,55,71,234,59,7,314,27,1,0
0.2,40,60,72,235,61,7,324,27,1,0
0.2,40,65,73,237,64,7,335,27,1,0
0.2,40,70,74,238,66,8,344,26,1,0
0.2,40,75,75,240,68,8,355,26,1,0
